,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Servings:,Servings Per Recipe,Rise Time:,Yield:,Cool Time:,Additional Time:
46,6650092,Authentic Pizza Margherita,30 mins,10 mins, 1 hr 45 mins,966,37g,16g,90mg,2187mg,106g,6g,6g,49g,12mg,1159mg,8mg,287mg,4.6,40,4 ,4,,4 pizzas,, 1 hr 5 mins
47,6738222,Jan's Jalapeno Popper Pizza,15 mins,45 mins, 1 hr,293,16g,8g,44mg,689mg,22g,1g,3g,16g,5mg,274mg,2mg,173mg,4.6,59,8 ,8,,1 16-inch pizza,,
48,6650762,Homemade Veggie Pizza,40 mins,35 mins, 2 hrs 25 mins,397,9g,4g,49mg,1291mg,63g,5g,9g,17g,25mg,302mg,6mg,649mg,4.8,28,6 ,6,,6 servings,, 1 hr 10 mins
49,6650044,Crab Rangoon Pizza,10 mins,17 mins,27 mins,327,15g,7g,46mg,681mg,32g,1g,5g,15g,1mg,169mg,2mg,113mg,4.8,24,8 ,8,,1 pizza,,
50,6592279,Taco Pizza, 2 hrs,20 mins, 2 hrs 20 mins,338,16g,8g,42mg,708mg,33g,3g,3g,15g,3mg,225mg,3mg,236mg,4.5,246,16 ,16,,2 to 12 - inch pizzas,,
51,6737754,Pepperoni Meatza,30 mins,15 mins,45 mins,506,28g,13g,220mg,2521mg,5g,1g,3g,57g,4mg,545mg,2mg,285mg,4.5,100,6 ,6,,1 -12x17-inch pizza,,
52,6598143,Pizza Pinwheels,20 mins,12 mins,32 mins,235,13g,5g,24mg,759mg,16g,1g,4g,11g,5mg,238mg,1mg,41mg,4.4,758,8 ,8,,16 pinwheels,,
53,6738211,Sicilian Christmas Pizza (Sfincione),25 mins, 1 hr 5 mins, 3 hrs,444,20g,6g,23mg,780mg,51g,3g,5g,15g,3mg,259mg,4mg,276mg,4.9,18,12 ,12,,1 large pizza,, 1 hr 30 mins
54,6585680,Baked Potato Pizza,25 mins, 1 hr 20 mins, 1 hr 50 mins,440,28g,10g,43mg,627mg,33g,3g,3g,14g,17mg,274mg,2mg,446mg,5.0,26,8 ,8,,8 servings,,5 mins
55,6664275,Chicken Pesto Pizza,10 mins,10 mins,20 mins,457,22g,7g,61mg,767mg,38g,3g,2g,30g,8mg,213mg,1mg,151mg,4.7,313,6 ,6,,6 servings,,
56,6584517,Rhode Island-Style Pizza Strips aka Bakery Pizza,15 mins,15 mins, 1 hr,275,12g,2g,9mg,723mg,33g,2g,5g,8g,5mg,35mg,2mg,167mg,4.5,15,16 ,16,,16 servings,,30 mins
57,6573875,Pizza Buns,10 mins,35 mins,45 mins,341,14g,7g,55mg,787mg,29g,3g,3g,22g,6mg,348mg,3mg,234mg,4.5,47,8 ,8,,16 mini pizzas,,
58,6604853,Easy Philly Cheese Steak Pizza,15 mins,25 mins,40 mins,433,27g,17g,85mg,1141mg,22g,1g,4g,26g,14mg,459mg,2mg,296mg,4.4,16,8 ,8,,8 servings,,
59,6576837,Breakfast Pizza I,15 mins,25 mins,40 mins,340,22g,9g,165mg,811mg,16g,0g,3g,21g,2mg,168mg,2mg,314mg,4.4,286,8 ,8,,1 to 12 - inch pizza,,
60,6597847,Grands!® Mini Pizzas,10 mins,,25 mins,337,19g,7g,31mg,1091mg,27g,1g,6g,14g,3mg,273mg,2mg,58mg,4.4,93,8 ,8,,8 pizzas,,15 mins
