,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Rest Time:,Marinate Time:,Yield:,Active Time:,Stand Time:,Additional Time:
48,6738826,Hamburger Steak with Onions and Gravy,15 mins,25 mins,40 mins,4 ,4,319,19g,6g,115mg,597mg,14g,1g,3g,23g,4mg,50mg,3mg,387mg,4.6,"4,288",,,,,,
49,6648930,Shrimp Scampi with Pasta,20 mins,20 mins,40 mins,6 ,6,511,19g,7g,135mg,260mg,58g,4g,1g,22g,10mg,52mg,5mg,269mg,4.6,"1,419",,,6 servings,,,
50,6663486,Marinated Tuna Steak,10 mins,10 mins,50 mins,4 ,4,200,8g,1g,51mg,945mg,4g,0g,2g,27g,13mg,29mg,1mg,584mg,4.7,"1,214",,,,,,30 mins
51,6649763,Stuffed Peppers,5 mins, 1 hr 25 mins, 1 hr 30 mins,6 ,6,248,9g,4g,46mg,564mg,26g,4g,6g,16g,96mg,40mg,3mg,659mg,4.4,"2,040",,,6 stuffed peppers,,,
52,6648151,Spicy Thai Basil Chicken (Pad Krapow Gai),15 mins,10 mins,25 mins,2 ,2,715,30g,7g,156mg,1182mg,59g,1g,6g,50g,31mg,99mg,6mg,670mg,4.8,"1,171",,,2 servings,,,
53,6649541,Grilled Cheese Sandwich,5 mins,10 mins,15 mins,2 ,2,400,28g,17g,76mg,639mg,26g,1g,2g,11g,,285mg,2mg,83mg,4.8,867,,,,,,
54,6663165,Juiciest Hamburgers Ever,15 mins,10 mins,35 mins,8 ,8,288,18g,7g,96mg,196mg,9g,1g,2g,22g,1mg,53mg,3mg,314mg,4.4,"1,286",,,8 servings,,,10 mins
55,6650512,Manicotti,30 mins,55 mins, 1 hr 25 mins,4 ,4,676,31g,17g,189mg,1255mg,53g,4g,13g,46g,2mg,1044mg,3mg,708mg,4.7,779,,,,,,
56,6650404,Turkey Carcass Soup,45 mins, 2 hrs, 2 hrs 45 mins,12 ,12,133,1g,0g,2mg,439mg,28g,5g,5g,4g,29mg,67mg,2mg,667mg,4.7,397,,,,,,
57,6665025,Simple Beef Stroganoff,5 mins,15 mins,20 mins,4 ,4,679,41g,17g,159mg,660mg,48g,3g,2g,29g,1mg,76mg,4mg,460mg,4.1,992,,,,,,
58,6664293,Homemade Lasagna, 1 hr 25 mins, 1 hr 15 mins, 2 hrs 50 mins,8 ,8,638,27g,13g,161mg,2053mg,54g,5g,4g,46g,13mg,637mg,5mg,785mg,4.6,351,,,1 9x13-inch lasagna,,,10 mins
59,6573719,Campbell's Tuna Noodle Casserole,10 mins,35 mins,45 mins,8 ,,,,,,,,,,,,,,,4.4,511,,,,,,
60,6651072,Simple Deep Fried Turkey,10 mins,35 mins, 1 hr,12 ,12,568,27g,8g,224mg,768mg,0g,0g,,77g,0mg,75mg,5mg,770mg,4.6,8,,,,,,15 mins
61,6664641,Roasted Rack of Lamb,15 mins,20 mins,45 mins,4 ,4,481,41g,13g,94mg,1369mg,6g,1g,0g,22g,2mg,44mg,2mg,308mg,4.8,"1,325",,,,,,10 mins
