,id_recipe,name,Prep Time:,Cook Time:,Stand Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Active Time:,Yield:,Additional Time:
34,6739034,Oatmeal Pancakes,5 mins,10 mins,,15 mins,4 ,4,207,9g,2g,48mg,605mg,25g,1g,6g,6g,1mg,118mg,2mg,141mg,4.7,996,,4 pancakes,
35,6648765,Easy Banana Nut Pancakes,15 mins,5 mins,,20 mins,3 ,3,427,16g,5g,77mg,1052mg,66g,4g,24g,9g,6mg,292mg,3mg,422mg,4.8,157,,,
36,6650796,Strawberry Vanilla Pancakes,10 mins,10 mins,,20 mins,4 ,4,280,10g,2g,51mg,807mg,38g,2g,12g,7g,23mg,195mg,2mg,220mg,4.1,344,,8 pancakes,
37,6598551,Flourless Banana Pancakes,10 mins,10 mins,,20 mins,2 ,2,245,18g,13g,186mg,72mg,14g,2g,7g,7g,5mg,31mg,1mg,280mg,4.1,40,,,
38,6651049,Cottage Cheese Pancakes,5 mins,10 mins,,15 mins,4 ,4,210,13g,4g,148mg,284mg,10g,0g,1g,13g,,55mg,1mg,109mg,4.3,253,,,
39,6598614,Chocolate Pancakes,10 mins,10 mins,,20 mins,4 ,4,418,17g,10g,114mg,257mg,59g,4g,25g,12g,0mg,124mg,4mg,351mg,3.4,120,,8 pancakes,
40,6606175,Peanut Butter Banana Pancakes,10 mins,15 mins,,25 mins,12 ,12,142,6g,1g,16mg,390mg,19g,1g,4g,5g,1mg,173mg,1mg,143mg,4.5,128,,12 4-inch pancakes,
41,6739088,Fluffy and Delicious Pancakes,15 mins,10 mins,,30 mins,4 ,4,232,8g,5g,65mg,629mg,33g,1g,9g,6g,0mg,137mg,2mg,117mg,4.7,431,,,5 mins
42,6568172,Blini (Russian Pancakes),15 mins,30 mins,, 1 hr 5 mins,6 ,6,525,26g,13g,153mg,378mg,57g,2g,10g,14g,0mg,181mg,3mg,303mg,4.8,48,,20 blinis,20 mins
43,6575871,Pannekaken (Norwegian Pancakes),10 mins,5 mins,,15 mins,6 ,6,145,4g,2g,98mg,157mg,20g,1g,4g,7g,0mg,88mg,1mg,147mg,4.6,232,,,
44,6737608,Simply Pumpkin Pancakes,10 mins,15 mins,,25 mins,4 ,4,282,6g,2g,51mg,361mg,49g,2g,17g,8g,1mg,230mg,3mg,216mg,4.4,139,,8 pumpkin pancakes,
45,6663830,Cornbread Pancakes,5 mins,10 mins,,15 mins,5 ,5,278,10g,5g,95mg,550mg,39g,1g,9g,8g,1mg,114mg,2mg,173mg,4.6,209,,5 servings,
46,6650981,Matcha Pancakes,10 mins,15 mins,,25 mins,6 ,6,228,13g,3g,33mg,407mg,22g,1g,5g,4g,0mg,119mg,1mg,36mg,5.0,4,,6 small pancakes,
47,6586951,Cinnamon Pancakes,10 mins,10 mins,,20 mins,10 ,10,139,8g,4g,51mg,280mg,15g,1g,,3g,0mg,96mg,1mg,67mg,4.3,61,,10 pancakes,
48,6595611,Pancakes from Scratch,10 mins,15 mins,,25 mins,4 ,4,290,13g,3g,51mg,403mg,36g,2g,4g,7g,2mg,268mg,3mg,139mg,3.5,31,,4 servings,
49,6650269,Easy Buttermilk Baking Sheet Pancakes,15 mins,13 mins,,40 mins,8 ,8,277,6g,3g,12mg,694mg,50g,3g,8g,6g,5mg,144mg,2mg,272mg,4.7,65,,8 servings,12 mins
50,6601056,Homemade Pancakes,10 mins,25 mins,,35 mins,10 ,10,127,5g,3g,30mg,375mg,17g,1g,3g,4g,0mg,96mg,1mg,74mg,4.4,34,,10 pancakes,
51,6580485,Extra-Yummy Fluffy Pancakes,10 mins,15 mins,,30 mins,6 ,6,218,10g,2g,35mg,493mg,27g,1g,6g,6g,0mg,177mg,2mg,127mg,4.1,283,,12 small pancakes,5 mins
52,6737206,Almond Meal Pancakes,10 mins,10 mins,,30 mins,2 ,2,497,31g,6g,191mg,412mg,31g,,13g,29g,0mg,416mg,6mg,902mg,4.3,33,,2 servings,10 mins
53,6664764,Finnish Pancakes,10 mins,5 mins,,15 mins,4 ,4,176,10g,5g,113mg,514mg,15g,0g,3g,7g,0mg,157mg,1mg,145mg,4.6,22,,10 pancakes,
54,6579235,Pancakes,5 mins,10 mins,,15 mins,5 ,5,176,8g,2g,41mg,352mg,21g,1g,2g,5g,0mg,147mg,1mg,118mg,4.0,585,,10 (4-inch) pancakes,
55,6589584,Fluffy Japanese Pancakes,10 mins,15 mins,,25 mins,8 ,8,195,8g,4g,63mg,300mg,26g,1g,8g,5g,0mg,124mg,2mg,102mg,4.7,9,,8 pancakes,
56,6739789,Homemade Pancake Mix,10 mins,,,10 mins,12 ,12,274,4g,2g,13mg,1120mg,50g,1g,9g,9g,1mg,400mg,3mg,234mg,4.8,99,,12 servings,
57,6573960,Lemon-Blueberry Pancakes,10 mins,15 mins,,25 mins,8 ,8,123,3g,1g,25mg,297mg,20g,1g,4g,4g,1mg,114mg,1mg,86mg,4.4,83,,8 pancakes,
58,6571081,Oven Pancakes,5 mins,20 mins,,25 mins,6 ,6,264,15g,8g,154mg,136mg,26g,1g,10g,8g,0mg,73mg,2mg,132mg,4.4,209,,1 to 9 - inch cake pan,
59,6737843,Russian Cheese Pancakes (Syrniki),10 mins,10 mins,,20 mins,5 ,5,151,7g,0g,53mg,179mg,16g,0g,8g,8g,,49mg,1mg,82mg,5.0,6,,5 syrniki,
60,6575098,Grandma's Gingerbread Pancakes,10 mins,15 mins,,25 mins,10 ,10,101,1g,0g,19mg,150mg,21g,1g,5g,3g,,53mg,1mg,150mg,4.2,239,,10 pancakes,
