,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count
24,6650661,Mini Strawberry Tarts,30 mins,18 mins,30 mins, 1 hr 18 mins,35 ,70 mini tarts,35,280,17g,11g,49mg,135mg,29g,1g,8g,4g,23mg,26mg,1mg,100mg,4.5,10
25,6600152,Fresh Fruit Tart with Mascarpone,30 mins,15 mins,,45 mins,16 ,2 9-inch tarts,16,391,23g,14g,63mg,132mg,43g,2g,28g,4g,28mg,51mg,1mg,141mg,5.0,15
26,6570888,Maman's Fresh Strawberry Rhubarb Pie,15 mins,5 mins, 1 hr, 1 hr 20 mins,8 ,8 servings,8,211,7g,4g,15mg,122mg,36g,2g,26g,1g,35mg,22mg,1mg,131mg,4.6,24
27,6579371,Strawberry Yogurt Pie,10 mins,,1 day,1 day 10 mins,8 ,1 9-inch pie,8,246,12g,8g,1mg,151mg,32g,1g,22g,4g,23mg,98mg,1mg,171mg,4.3,18
28,6587113,No Crust Strawberry Pie,,,,,8 ,1 pie,8,57,0g,,,158mg,14g,2g,4g,1g,49mg,17mg,0mg,132mg,4.1,108
29,6595264,Strawberry-Cream Cheese Pie,20 mins,, 2 hrs 15 mins, 2 hrs 35 mins,8 ,1 9-inch pie,8,357,18g,8g,31mg,206mg,47g,2g,30g,4g,45mg,38mg,1mg,167mg,4.7,3
30,6596375,Grandma's Strawberry Rhubarb Pie,30 mins,40 mins,, 1 hr 10 mins,8 ,1 9-inch pie,8,432,15g,2g,1mg,298mg,72g,2g,40g,5g,21mg,53mg,2mg,198mg,4.2,46
31,6664243,Becky's Strawberry Pie,10 mins,, 2 hrs 20 mins, 2 hrs 30 mins,8 ,1 9-inch pie,8,281,15g,8g,,221mg,37g,1g,28g,3g,12mg,12mg,1mg,63mg,4.5,49
32,6584933,Strawberry Banana Pie,15 mins,20 mins,30 mins, 1 hr 5 mins,8 ,1 pie,8,448,21g,10g,31mg,202mg,64g,4g,36g,4g,15mg,33mg,2mg,262mg,3.7,11
33,6577757,Beautiful Summer Fruit Tart,30 mins,10 mins,45 mins, 1 hr 25 mins,12 ,1 11-inch tart,12,261,18g,11g,55mg,133mg,24g,1g,13g,3g,20mg,30mg,1mg,112mg,,
34,6593910,Two Tier Strawberry Pie,20 mins,10 mins, 1 hr, 1 hr 30 mins,8 ,1 to 9 - inch pie,8,378,23g,11g,52mg,169mg,42g,1g,24g,3g,22mg,37mg,1mg,112mg,4.6,150
35,6595977,Strawberry Cheese Pie,,,,,8 ,1 to 9 - inch pie shell,8,421,27g,13g,59mg,256mg,42g,2g,21g,6g,45mg,56mg,2mg,207mg,4.7,64
