,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cool Time:,Yield:,Rest Time:,Marinate Time:,Stand Time:,Additional Time:
46,6663409,Homemade Breakfast Sausage,10 mins,10 mins,20 mins,6 ,6,409,32g,12g,109mg,861mg,3g,0g,2g,26g,1mg,31mg,2mg,447mg,4.7,805,,6 patties,,,,
47,6650417,Slow Cooker Baby Back Ribs,10 mins, 4 hrs 15 mins, 4 hrs 25 mins,6 ,6,501,30g,11g,117mg,1067mg,32g,1g,23g,24g,2mg,61mg,2mg,517mg,4.7,"1,302",,,,,,
48,6650619,Bob's Pulled Pork on a Smoker,10 mins, 8 hrs, 20 hrs 40 mins,20 ,20,442,32g,11g,104mg,2691mg,15g,1g,13g,24g,1mg,34mg,3mg,434mg,4.7,262,,,,,, 12 hrs 30 mins
49,6663774,Southern-Style Collard Greens,15 mins, 3 hrs, 3 hrs 15 mins,10 ,10,189,10g,3g,34mg,1687mg,14g,5g,5g,12g,50mg,209mg,1mg,389mg,4.8,171,,,,,,
50,6648917,Boilermaker Tailgate Chili,30 mins, 2 hrs, 2 hrs 30 mins,12 ,12,600,30g,11g,70mg,2093mg,55g,12g,12g,31g,59mg,311mg,8mg,1108mg,4.8,"8,067",,,,,,
51,6663155,Pinto Beans With Mexican-Style Seasonings,15 mins, 4 hrs, 12 hrs 15 mins,8 ,8,267,5g,2g,10mg,510mg,41g,14g,2g,16g,9mg,94mg,4mg,794mg,4.8,208,,,,,, 8 hrs
52,6598248,Homemade Sweet Italian Sausage (Mild or Hot),20 mins,15 mins, 12 hrs 35 mins,12 ,12,243,16g,6g,74mg,640mg,2g,1g,1g,21g,2mg,33mg,2mg,338mg,4.7,243,,3 pounds,,,, 12 hrs
53,6648739,Spam Musubi,25 mins,30 mins, 5 hrs 25 mins,10 ,10,276,12g,4g,24mg,866mg,35g,1g,10g,7g,1mg,10mg,2mg,118mg,4.6,182,,10 pieces,,,, 4 hrs 30 mins
54,6648244,Honey Glazed Ham,20 mins, 1 hr 15 mins, 1 hr 35 mins,15 ,15,521,28g,12g,96mg,1492mg,42g,1g,39g,26g,0mg,24mg,1mg,370mg,4.7,"1,528",,,,,,
55,6575344,Souvlaki,30 mins,10 mins, 2 hrs 40 mins,12 ,12,189,8g,2g,65mg,354mg,4g,1g,1g,24g,25mg,22mg,1mg,467mg,4.7,"1,037",,,,,, 2 hrs
56,6738121,World's Best Pasta Sauce!,15 mins, 1 hr 40 mins, 1 hr 55 mins,16 ,16,157,9g,3g,24mg,673mg,12g,2g,5g,10g,11mg,39mg,2mg,554mg,4.7,"1,069",,,,,,
57,6663477,"Fried Cabbage with Bacon, Onion, and Garlic",15 mins, 1 hr, 1 hr 15 mins,6 ,6,194,13g,4g,19mg,1435mg,16g,6g,8g,6g,79mg,96mg,1mg,462mg,4.6,"1,235",,,,,,
58,6650589,BBQ Country-Style Ribs,15 mins, 3 hrs, 3 hrs 15 mins,5 ,5,625,31g,11g,177mg,1228mg,39g,2g,26g,46g,18mg,86mg,3mg,739mg,4.4,641,,10 ribs,,,,
59,6664473,Brown Sugar Ham Steak,5 mins,20 mins,25 mins,2 ,2,521,34g,20g,127mg,1648mg,33g,,33g,22g,37mg,41mg,1mg,421mg,4.7,172,,,,,,
60,6650132,Meat Pie,25 mins,25 mins,50 mins,8 ,8,381,24g,7g,36mg,577mg,28g,3g,1g,14g,6mg,21mg,3mg,291mg,4.5,104,,1 9-inch pie,,,,
61,6649079,"Sausage, Peppers, Onions, and Potato Bake",20 mins,40 mins, 1 hr,8 ,8,539,30g,9g,45mg,1041mg,46g,7g,7g,20g,126mg,63mg,3mg,1269mg,4.6,"1,677",,8 servings,,,,
