,id_recipe,Quantity,Unit of Measure,Ingredient
368,6572385,1,(1 pound) loaf,"processed cheese (i.e. Velveeta®), cubed"
369,6572385,2,cups,shredded Mexican cheese blend
370,6572385,2,(10 ounce) cans,diced tomatoes with green chile peppers
371,6572385,1,(10 ounce) package,"frozen chopped spinach, thawed and drained"
372,6572385,1,(1.25 ounce) package,taco seasoning mix
373,6572385,2,,"tomatoes, chopped"
374,6572385,½,cup,"green onions, chopped"
375,6590387,1,(15 ounce) can,"chickpeas, drained"
376,6590387,¼,cup,water
377,6590387,2,tablespoons,tahini
378,6590387,1,tablespoon,"fresh lime juice, or to taste"
379,6590387,1,teaspoon,"sea salt, or to taste"
380,6590387,1,clove,"garlic, roughly chopped"
381,6590387,½,teaspoon,ground cumin
382,6590387,1 ½,large,"ripe avocados, pitted and peeled"
383,6590387,1,bunch,spinach leaves
384,6590387,2,tablespoons,extra-virgin olive oil
385,6575909,1,cup,sour cream
386,6575909,1,cup,yogurt
387,6575909,1,(10 ounce) package,"frozen chopped spinach, thawed and drained"
388,6575909,1,tablespoon,dried minced onion flakes
389,6575909,1,tablespoon,Beau Monde ™ seasoning
390,6575909,1,teaspoon,garlic salt
391,6575909,1,dash,hot pepper sauce
392,6572085,2,tablespoons,extra-virgin olive oil
393,6572085,1,tablespoon,butter
394,6572085,3,cloves,"garlic, chopped"
395,6572085,1,small,"onion, chopped"
396,6572085,1,small,"red bell pepper, chopped"
397,6572085,1,pinch,"Italian seasoning, or to taste"
398,6572085,2,tablespoons,all-purpose flour
399,6572085,½,cup,dry white wine
400,6572085,1,cup,canned chicken broth
401,6572085,½,cup,half-and-half
402,6572085,2,(10 ounce) packages,"frozen chopped spinach, thawed and drained"
403,6572085,1,(14 ounce) can,"artichoke hearts in water, drained and chopped"
404,6572085,3,cups,shredded mozzarella cheese
405,6565327,,,Reynolds Wrap® Pan Lining Paper
406,6565327,1,(8 ounce) package,"cream cheese, softened"
407,6565327,½,cup,mayonnaise
408,6565327,2,tablespoons,milk
409,6565327,2,teaspoons,garlic powder
410,6565327,1,(12 ounce) jar,"artichoke hearts, drained and coarsely chopped"
411,6565327,1,(10 ounce) package,"frozen chopped spinach, thawed and drained"
412,6565327,1,cup,shredded pepperjack cheese
413,6565327,1,cup,shredded Parmesan cheese
414,6565327,¼,cup,chopped roasted red pepper
415,6565327,,,Assorted crackers or tortilla chips
416,6603703,2,pounds,pepperjack cheese
417,6603703,2,cups,half-and-half cream
418,6603703,1,large,"tomato, diced"
419,6603703,1,,"onion, diced"
420,6603703,½,cup,diced red bell pepper
421,6603703,3,cups,"spinach, rinsed and chopped"
422,6580105,½,bunch,"fresh spinach, minced"
423,6580105,1,,"cucumber, cubed"
424,6580105,1,,"tomato, cubed"
425,6580105,½,small,"red onion, cut into 1/4-inch pieces"
426,6580105,2,cloves,"garlic, minced"
427,6580105,1,,"lemon, juiced"
428,6580105,¼,cup,olive oil
429,6580105,1,teaspoon,sea salt
430,6580105,1,teaspoon,ground black pepper
431,6575155,2,(10.5 ounce) cans,"condensed, 98% fat-free cream of chicken soup with 30% less sodium"
432,6575155,9,ounces,diced cooked chicken
433,6575155,1,(8 ounce) container,reduced-fat sour cream
434,6575155,2,cups,shredded part-skim mozzarella cheese
435,6575155,½,cup,"skim milk, or more as needed"
436,6575155,½,cup,grated Parmesan cheese
437,6575155,1,(10 ounce) package,"frozen chopped spinach - thawed, drained, and squeezed dry"
438,6573204,1,(8 ounce) tub,almond cream cheese alternative spread
439,6573204,¼,cup,coconut yogurt
440,6573204,⅔,cup,"frozen chopped spinach, thawed and drained"
441,6573204,½,cup,vegan shredded Parmesan-style cheese
442,6573204,1 ½,teaspoons,garlic powder
443,6573204,1,teaspoon,Italian seasoning
444,6573204,1,(14 ounce) can,"artichoke hearts, drained and chopped"
445,6573204,,,salt and ground black pepper to taste
446,6573204,1,teaspoon,extra-virgin olive oil
447,6573204,¼,cup,shredded vegan mozzarella-style cheese
448,6571380,2,(8 ounce) packages,"cream cheese, softened"
449,6571380,1,(10 ounce) package,"frozen chopped spinach, thawed and drained"
450,6571380,6,ounces,crumbled Gorgonzola cheese
451,6571380,½,cup,slivered almonds
452,6563327,3,tablespoons,extra-virgin olive oil
453,6563327,1,medium,"onion, chopped"
454,6563327,1,cup,diced mushrooms
455,6563327,1,teaspoon,Italian seasoning
456,6563327,¼,teaspoon,"salt, or more to taste"
457,6563327,⅛,teaspoon,ground black pepper
458,6563327,½,cup,"oil-packed sun-dried tomatoes, drained and finely chopped"
459,6563327,1,cup,"cooked spinach, squeezed dry and finely chopped"
460,6563327,5,ounces,"cream cheese, diced"
461,6563327,2,large,eggs
462,6563327,1,cup,milk
463,6563327,1 ½,cups,"shredded mozzarella cheese, or more to taste"
464,6563327,1,tablespoon,grated Parmesan cheese
465,6563327,½,pound,"cooked chicken breast, diced"
