id_recipe,prep_time,cook_time,total_time,freeze_time,cool_time,stand_time,chill_time,soak_time,marinate_time,additional_time,refrigerate_time,rest_time,active_time,bake_time,grill_time,rise_time,fry_time,other_time_time,roast_time,process_time,release_pressure_time
6591864,10 mins,,3 days 10 mins,,,,,,,3 days,,,,,,,,,,,
6583857,20 mins,20 mins,1 day 40 mins,,,,,,,1 day,,,,,,,,,,,
6570458,10 mins,,10 mins,,,,,,,,,,,,,,,,,,
6579912,20 mins,,20 mins,,,,,,,,,,,,,,,,,,
6573243,15 mins,40 mins,55 mins,,,,,,,,,,,,,,,,,,
6585156,20 mins,20 mins, 1 hr 10 mins,,,,,,,30 mins,,,,,,,,,,,
6575680,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
6601571,20 mins,40 mins, 2 hrs,,,,,,, 1 hr,,,,,,,,,,,
7969057,15 mins, 2 hrs, 2 hrs 15 mins,,,,,,,,,,,,,,,,,,
7968372,20 mins,10 mins,35 mins,,,5 mins,,,,,,,,,,,,,,,
7642277,,,,,,,,,,,,,,,,,,,,,
7852417,5 mins,13 mins,18 mins,,,,,,,,,,,,,,,,,,
7692905,10 mins,20 mins,30 mins,,,,,,,,,,,,,,,,,,
7566818,,,,,,,,,,,,,,,,,,,,,
7569406,30 mins,, 1 hr,,,,30 mins,,,,,,,,,,,,,,
7568002,15 mins,, 1 hr 15 mins,,,, 1 hr,,,,,,,,,,,,,,
7567996,20 mins, 1 hr 10 mins,5 mins,, 1 hr 35 mins,,,,,,,,,,,,,,,,
7567853,15 mins,20 mins,35 mins,,,,,,,,,,,,,,,,,,
7563404,15 mins,45 mins, 1 hr 5 mins,,5 mins,,,,,,,,,,,,,,,,
7563489,15 mins,40 mins, 1 hr,,5 mins,,,,,,,,,,,,,,,,
7563423,15 mins,10 mins,25 mins,,,,,,,,,,,,,,,,,,
7551491,40 mins, 1 hr, 2 hrs 10 mins,,,,,,30 mins,,,,,,,,,,,,
7507354,10 mins,5 mins,15 mins,,,,,,,,,,,,,,,,,,
6762764,10 mins,20 mins,30 mins,,,,,,,,,,,,,,,,,,
7505113,10 mins,1 mins,11 mins,,,,,,,,,,,,,,,,,,
7505052,15 mins,0 mins, 4 hrs 15 mins,,,,,,,, 4 hrs,,,,,,,,,,
7497920,10 mins,10 mins,35 mins,15 mins,,,,,,,,,,,,,,,,,
7501631,5 mins,3 mins,8 mins,,,,,,,,,,,,,,,,,,
7500680,30 mins,15 mins,45 mins,,,,,,,,,,,,,,,,,,
7483839,15 mins,15 mins,30 mins,,,,,,,,,,,,,,,,,,
6575805,5 mins,5 mins,10 mins,,,,,,,,,,,,,,,,,,
6650602,10 mins, 1 hr, 3 hrs 10 mins,,,,,,, 2 hrs,,,,,,,,,,,
7255122,15 mins,5 mins,20 mins,,,,,,,,,,,,,,,,,,
7254880,20 mins,20 mins,40 mins,,,,,,,,,,,,,,,,,,
7182311,10 mins,50 mins, 1 hr,,,,,,,,,,,,,,,,,,
